Designator,Mid X,Mid Y,Rotation,Layer
C1,23.4,-33.2,180.0,top
C10,369.09375,-36.75625,270.0,bottom
C11,378.61875,-32.146875,270.0,bottom
C12,325.7,-26.2875,270.0,bottom
C13,333.375,-26.2875,90.0,bottom
C14,329.6,-26.2875,90.0,bottom
C15,370.6,-48.8625,270.0,top
C16,370.6,-52.8,90.0,top
C2,23.4,-59.0,180.0,top
C3,23.4,-80.8,180.0,top
C4,23.4375,-99.8,180.0,top
C5,23.4375,-118.4,180.0,top
C6,23.4375,-136.8,180.0,top
C7,366.7125,-31.99375,90.0,bottom
C8,369.09375,-31.99375,90.0,bottom
C9,364.33125,-36.75625,270.0,bottom
CH1,38.1,-38.1,0.0,top
CH10,61.9125,-123.825,0.0,top
CH11,64.29375,-142.875,0.0,top
CH12,76.2,-38.1,0.0,top
CH13,76.2,-66.675,0.0,top
CH14,85.725,-85.725,0.0,top
CH15,90.4875,-104.775,0.0,top
CH16,80.9625,-123.825,0.0,top
CH17,88.10625,-142.875,0.0,top
CH18,95.25,-38.1,0.0,top
CH19,95.25,-66.675,0.0,top
CH2,38.1,-66.675,0.0,top
CH20,104.775,-85.725,0.0,top
CH21,109.5375,-104.775,0.0,top
CH22,100.0125,-123.825,0.0,top
CH23,159.54375,-142.875,0.0,top
CH24,114.3,-38.1,0.0,top
CH25,114.3,-66.675,0.0,top
CH26,123.825,-85.725,0.0,top
CH27,128.5875,-104.775,0.0,top
CH28,119.0625,-123.825,0.0,top
CH29,133.35,-38.1,0.0,top
CH3,42.8625,-85.725,0.0,top
CH30,133.35,-66.675,0.0,top
CH31,142.875,-85.725,0.0,top
CH32,147.6375,-104.775,0.0,top
CH33,138.1125,-123.825,0.0,top
CH34,152.4,-66.675,0.0,top
CH35,161.925,-85.725,0.0,top
CH36,166.6875,-104.775,0.0,top
CH37,157.1625,-123.825,0.0,top
CH38,161.925,-38.1,0.0,top
CH39,171.45,-66.675,0.0,top
CH4,45.24375,-104.775,0.0,top
CH40,180.975,-85.725,0.0,top
CH41,185.7375,-104.775,0.0,top
CH42,176.2125,-123.825,0.0,top
CH43,180.975,-38.1,0.0,top
CH44,190.5,-66.675,0.0,top
CH45,200.025,-85.725,0.0,top
CH46,204.7875,-104.775,0.0,top
CH47,195.2625,-123.825,0.0,top
CH48,200.025,-38.1,0.0,top
CH49,209.55,-66.675,0.0,top
CH5,40.48125,-123.825,0.0,top
CH50,219.075,-85.725,0.0,top
CH51,223.8375,-104.775,0.0,top
CH52,214.3125,-123.825,0.0,top
CH53,219.075,-38.1,0.0,top
CH54,228.6,-66.675,0.0,top
CH55,238.125,-85.725,0.0,top
CH56,242.8875,-104.775,0.0,top
CH57,233.3625,-123.825,0.0,top
CH58,247.65,-38.1,0.0,top
CH59,247.65,-66.675,0.0,top
CH6,40.48125,-142.875,0.0,top
CH60,257.175,-85.725,0.0,top
CH61,261.9375,-104.775,0.0,top
CH62,252.4125,-123.825,0.0,top
CH63,266.7,-66.675,0.0,top
CH64,276.225,-85.725,0.0,top
CH65,280.9875,-104.775,0.0,top
CH66,230.98125,-142.875,0.0,top
CH67,266.7,-38.1,0.0,top
CH68,295.275,-66.675,0.0,top
CH69,302.41875,-95.25,0.0,top
CH7,57.15,-66.675,0.0,top
CH70,288.13125,-123.825,0.0,top
CH71,302.41875,-142.875,0.0,top
CH72,278.60625,-142.875,0.0,top
CH73,254.79375,-142.875,0.0,top
CH74,285.75,-38.1,0.0,top
CH75,304.8,-38.1,0.0,top
CH76,371.475,-66.675,0.0,top
CH77,352.425,-66.675,0.0,top
CH78,371.475,-85.725,0.0,top
CH79,352.425,-85.725,0.0,top
CH8,66.675,-85.725,0.0,top
CH80,333.375,-66.675,0.0,top
CH81,352.425,-123.825,0.0,top
CH82,333.375,-142.875,0.0,top
CH83,333.375,-85.725,0.0,top
CH84,371.475,-142.875,0.0,top
CH85,352.425,-142.875,0.0,top
CH9,71.4375,-104.775,0.0,top
D1,28.575,-34.29,270.0,top
D10,52.3875,-120.015,270.0,top
D11,54.76875,-139.065,270.0,top
D12,66.675,-34.29,270.0,top
D13,66.675,-62.865,270.0,top
D14,76.2,-81.915,270.0,top
D15,80.9625,-100.965,270.0,top
D16,71.4375,-120.015,270.0,top
D17,78.58125,-139.065,270.0,top
D18,85.725,-34.29,270.0,top
D19,85.725,-62.865,270.0,top
D2,28.575,-62.865,270.0,top
D20,95.25,-81.915,270.0,top
D21,100.0125,-100.965,270.0,top
D22,90.4875,-120.015,270.0,top
D23,150.01875,-139.065,270.0,top
D24,104.775,-34.29,270.0,top
D25,104.775,-62.865,270.0,top
D26,114.3,-81.915,270.0,top
D27,119.0625,-100.965,270.0,top
D28,109.5375,-120.015,270.0,top
D29,123.825,-34.29,270.0,top
D3,33.3375,-81.915,270.0,top
D30,123.825,-62.865,270.0,top
D31,133.35,-81.915,270.0,top
D32,138.1125,-100.965,270.0,top
D33,128.5875,-120.015,270.0,top
D34,142.875,-62.865,270.0,top
D35,152.4,-81.915,270.0,top
D36,157.1625,-100.965,270.0,top
D37,147.6375,-120.015,270.0,top
D38,152.4,-34.29,270.0,top
D39,161.925,-62.865,270.0,top
D4,35.71875,-100.965,270.0,top
D40,171.45,-81.915,270.0,top
D41,176.2125,-100.965,270.0,top
D42,166.6875,-120.015,270.0,top
D43,171.45,-34.29,270.0,top
D44,180.975,-62.865,270.0,top
D45,190.5,-81.915,270.0,top
D46,195.2625,-100.965,270.0,top
D47,185.7375,-120.015,270.0,top
D48,190.5,-34.29,270.0,top
D49,200.025,-62.865,270.0,top
D5,30.95625,-120.015,270.0,top
D50,209.55,-81.915,270.0,top
D51,214.3125,-100.965,270.0,top
D52,204.7875,-120.015,270.0,top
D53,209.55,-34.29,270.0,top
D54,219.075,-62.865,270.0,top
D55,228.6,-81.915,270.0,top
D56,233.3625,-100.965,270.0,top
D57,223.8375,-120.015,270.0,top
D58,238.125,-34.29,270.0,top
D59,238.125,-62.865,270.0,top
D6,30.95625,-139.065,270.0,top
D60,247.65,-81.915,270.0,top
D61,252.4125,-100.965,270.0,top
D62,242.8875,-120.015,270.0,top
D63,257.175,-62.865,270.0,top
D64,266.7,-81.915,270.0,top
D65,271.4625,-100.965,270.0,top
D66,221.45625,-139.065,270.0,top
D67,257.175,-34.29,270.0,top
D68,277.415625,-62.865,270.0,top
D69,292.89375,-91.44,270.0,top
D7,47.625,-62.865,270.0,top
D70,270.271875,-120.015,270.0,top
D71,292.89375,-139.065,270.0,top
D72,269.08125,-139.065,270.0,top
D73,245.26875,-139.065,270.0,top
D74,276.225,-34.29,270.0,top
D75,295.275,-34.29,270.0,top
D76,361.95,-62.865,270.0,top
D77,342.9,-62.865,270.0,top
D78,361.95,-81.915,270.0,top
D79,342.9,-81.915,270.0,top
D8,57.15,-81.915,270.0,top
D80,323.85,-62.865,270.0,top
D81,342.9,-120.015,270.0,top
D82,323.85,-139.065,270.0,top
D83,323.85,-81.915,270.0,top
D84,361.95,-139.065,270.0,top
D85,342.9,-139.065,270.0,top
D9,61.9125,-100.965,270.0,top
J1,338.6,-41.1,0.0,top
J2,373.3,-49.2,0.0,top
J3,373.3,-52.4,180.0,top
LDO1,365.3725,-50.8,180.0,top
LED1,132.625,-32.95,0.0,bottom
LED10,113.575,-61.45,0.0,bottom
LED11,94.575,-61.45,0.0,bottom
LED12,75.475,-61.45,0.0,bottom
LED13,56.475,-61.45,0.0,bottom
LED14,37.375,-61.55,0.0,bottom
LED15,37.375,-32.95,0.0,bottom
LED16,75.475,-32.95,0.0,bottom
LED17,94.575,-32.95,0.0,bottom
LED18,113.575,-32.95,0.0,bottom
LED19,294.575,-61.45,0.0,bottom
LED2,161.225,-32.95,0.0,bottom
LED20,266.075,-61.45,0.0,bottom
LED21,246.975,-61.45,0.0,bottom
LED22,227.875,-61.55,0.0,bottom
LED23,208.775,-61.45,0.0,bottom
LED24,189.775,-61.45,0.0,bottom
LED25,170.775,-61.45,0.0,bottom
LED26,151.675,-61.45,0.0,bottom
LED27,132.675,-61.45,0.0,bottom
LED28,142.225,-80.55,0.0,bottom
LED29,123.125,-80.55,0.0,bottom
LED3,180.325,-32.95,0.0,bottom
LED30,104.125,-80.55,0.0,bottom
LED31,85.1,-80.5,0.0,bottom
LED32,66.025,-80.55,0.0,bottom
LED33,41.925,-80.55,0.0,bottom
LED34,370.825,-61.45,0.0,bottom
LED35,351.7,-61.5,0.0,bottom
LED36,332.625,-61.45,0.0,bottom
LED37,332.7,-80.5,0.0,bottom
LED38,301.675,-89.95,0.0,bottom
LED39,275.6,-80.5,0.0,bottom
LED4,199.3,-32.9,0.0,bottom
LED40,256.525,-80.55,0.0,bottom
LED41,237.425,-80.55,0.0,bottom
LED42,218.4,-80.6,0.0,bottom
LED43,199.4,-80.6,0.0,bottom
LED44,180.325,-80.55,0.0,bottom
LED45,161.325,-80.55,0.0,bottom
LED46,165.975,-99.55,0.0,bottom
LED47,147.0,-99.6,0.0,bottom
LED48,127.9,-99.6,0.0,bottom
LED49,108.9,-99.6,0.0,bottom
LED5,218.4,-32.9,0.0,bottom
LED50,89.9,-99.6,0.0,bottom
LED51,70.675,-99.55,0.0,bottom
LED52,44.2,-99.6,0.0,bottom
LED53,370.825,-80.45,0.0,bottom
LED54,351.8,-80.5,0.0,bottom
LED55,370.825,-137.75,0.0,bottom
LED56,61.2,-118.6,0.0,bottom
LED57,39.675,-118.65,0.0,bottom
LED58,280.325,-99.55,0.0,bottom
LED59,261.3,-99.6,0.0,bottom
LED6,246.925,-32.95,0.0,bottom
LED60,242.2,-99.6,0.0,bottom
LED61,223.025,-99.65,0.0,bottom
LED62,204.025,-99.65,0.0,bottom
LED63,185.025,-99.55,0.0,bottom
LED64,232.675,-118.65,0.0,bottom
LED65,213.675,-118.65,0.0,bottom
LED66,194.6,-118.6,0.0,bottom
LED67,175.5,-118.6,0.0,bottom
LED68,156.5,-118.6,0.0,bottom
LED69,137.5,-118.6,0.0,bottom
LED7,266.025,-32.95,0.0,bottom
LED70,118.4,-118.6,0.0,bottom
LED71,99.3,-118.6,0.0,bottom
LED72,80.3,-118.6,0.0,bottom
LED73,254.1,-137.7,0.0,bottom
LED74,230.1,-137.7,0.0,bottom
LED75,158.425,-137.65,0.0,bottom
LED76,87.625,-137.65,0.0,bottom
LED77,63.825,-137.65,0.0,bottom
LED78,39.7,-137.7,0.0,bottom
LED79,351.8,-118.6,0.0,bottom
LED8,285.075,-32.95,0.0,bottom
LED80,286.9,-118.6,0.0,bottom
LED81,251.7,-118.7,0.0,bottom
LED82,351.7,-137.6,0.0,bottom
LED83,332.7,-137.7,0.0,bottom
LED84,301.375,-137.65,0.0,bottom
LED85,278.225,-137.65,0.0,bottom
LED86,329.799375,-41.671875,0.0,bottom
LED87,329.803125,-36.909375,0.0,bottom
LED88,329.819375,-32.146875,0.0,bottom
LED89,336.65,-105.475,270.0,bottom
LED9,304.1,-32.9,0.0,bottom
LED90,343.05,-105.475,270.0,bottom
LED91,349.45,-105.475,270.0,bottom
LED92,355.85,-105.475,270.0,bottom
LED93,362.25,-105.425,270.0,bottom
LED94,368.6,-105.4,270.0,bottom
Q1,304.1,-49.7,180.0,top
Q2,304.1,-53.5,0.0,top
R1,364.33125,-32.0,90.0,bottom
R2,382.1,-32.1,270.0,bottom
R3,310.753125,-27.384375,90.0,bottom
R4,307.7,-27.384375,270.0,bottom
R5,308.3,-52.2,90.0,top
R6,298.5,-53.4,270.0,top
SW1,373.9625,-38.1,180.0,top
SW2,368.4,-27.4,180.0,bottom
SW3,376.8,-27.4,180.0,bottom
U1,350.04375,-41.5375,0.0,bottom
U2,319.0875,-28.485625,180.0,top
U3,319.56875,-42.8625,270.0,bottom
USB1,56.28,-33.9375,180.0,bottom
USB2,380.384375,-105.995625,270.0,bottom
